OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
785,2109,0,2109,4,6969599.83808,10559.9998773333
786,1070,0,1070,3,6969599.83808,10559.9998773333
787,3555,0,3555,1,6969600.70421999,10560.0005335
788,1524,0,1524,0,6969600.70421999,10560.0005335
789,1753,0,1753,0,6969599.83808,10559.9998773333
790,910,0,910,7,6969599.83808,10559.9998773333
791,1116,0,1116,5,6969599.83808,10559.9998773333
792,3270,0,3270,3,6969599.83808,10559.9998773333
793,1444,0,1444,2,6969599.83808,10559.9998773333
794,314,0,314,5,6969600.70421999,10560.0005335
795,1026,0,1026,1,6969599.83808,10559.9998773333
796,1906,0,1906,2,6969599.83808,10559.9998773333
797,3098,0,3098,3,6969599.83808,10559.9998773333
798,1046,0,1046,1,6969599.83808,10559.9998773333
799,141,0,141,6,6969599.83808,10559.9998773333
800,2010,0,2010,4,6969600.70421999,10560.0005335
801,640,0,640,1,6969599.83808,10559.9998773333
802,3382,0,3382,1,6969600.70421999,10560.0005335
803,3796,0,3796,1,6969599.83808,10559.9998773333
804,488,0,488,1,6969599.83808,10559.9998773333
805,841,0,841,4,6969599.83808,10559.9998773333
806,2995,0,2995,1,6969599.83808,10559.9998773333
807,1553,0,1553,1,6969600.70421999,10560.0005335
808,3104,0,3104,1,6969599.83808,10559.9998773333
809,1563,0,1563,1,6969600.70421999,10560.0005335
810,2117,0,2117,0,6969599.83808,10559.9998773333
811,1924,0,1924,2,6969599.83808,10559.9998773333
812,1464,0,1464,2,6969599.83808,10559.9998773333
813,766,0,766,2,6969599.83808,10559.9998773333
814,2455,0,2455,3,6969599.83808,10559.9998773333
815,875,0,875,2,6969599.83808,10559.9998773333
816,885,0,885,0,6969599.83808,10559.9998773333
817,2695,0,2695,1,6969600.70421999,10560.0005335
818,1048,0,1048,1,6969599.83808,10559.9998773333
819,2934,0,2934,3,6969599.83808,10559.9998773333
820,2105,0,2105,2,6969600.70421999,10560.0005335
821,2585,0,2585,6,6969599.83808,10559.9998773333
822,3745,0,3745,1,6969599.83808,10559.9998773333
823,3918,0,3918,2,6969599.83808,10559.9998773333
824,2415,0,2415,1,6969599.83808,10559.9998773333
825,725,0,725,3,6969599.83808,10559.9998773333
826,1113,0,1113,3,6969599.83808,10559.9998773333
827,2645,0,2645,1,6969599.83808,10559.9998773333
828,3149,0,3149,3,6969600.70421999,10560.0005335
829,435,0,435,6,6969599.83808,10559.9998773333
830,1672,0,1672,2,6969599.83808,10559.9998773333
831,2062,0,2062,3,6969599.83808,10559.9998773333
832,1013,0,1013,1,6969600.70421999,10560.0005335
833,1084,0,1084,5,6969599.83808,10559.9998773333
834,1495,0,1495,1,6969599.83808,10559.9998773333
835,1817,0,1817,5,6969599.83808,10559.9998773333
836,938,0,938,3,6969600.70421999,10560.0005335
837,584,0,584,1,6969599.83808,10559.9998773333
838,2985,0,2985,3,6969600.70421999,10560.0005335
839,1925,0,1925,2,6969599.83808,10559.9998773333
840,2524,0,2524,3,6969599.83808,10559.9998773333
841,820,0,820,7,6969599.83808,10559.9998773333
842,838,0,838,3,6969599.83808,10559.9998773333
843,1085,0,1085,3,6969599.83808,10559.9998773333
844,2285,0,2285,2,6969599.83808,10559.9998773333
845,433,0,433,5,6969600.70421999,10560.0005335
846,2875,0,2875,3,6969599.83808,10559.9998773333
847,1879,0,1879,6,6969599.83808,10559.9998773333
848,797,0,797,1,6969599.83808,10559.9998773333
849,1775,0,1775,2,6969599.83808,10559.9998773333
850,2290,0,2290,2,6969599.83808,10559.9998773333
851,792,0,792,3,6969600.70421999,10560.0005335
852,856,0,856,1,6969599.83808,10559.9998773333
853,1608,0,1608,4,6969599.83808,10559.9998773333
854,3859,0,3859,2,6969599.83808,10559.9998773333
855,1500,0,1500,1,6969599.83808,10559.9998773333
856,1827,0,1827,3,6969599.83808,10559.9998773333
857,3671,0,3671,1,6969600.70421999,10560.0005335
858,2863,0,2863,2,6969599.83808,10559.9998773333
859,3628,0,3628,2,6969599.83808,10559.9998773333
860,935,0,935,4,6969600.70421999,10560.0005335
861,877,0,877,3,6969599.83808,10559.9998773333
862,2563,0,2563,2,6969599.83808,10559.9998773333
863,2225,0,2225,0,6969599.83808,10559.9998773333
864,255,0,255,3,6969599.83808,10559.9998773333
865,606,0,606,3,6969599.83808,10559.9998773333
866,2409,0,2409,5,6969599.83808,10559.9998773333
867,2742,0,2742,2,6969599.83808,10559.9998773333
868,3793,0,3793,4,6969599.83808,10559.9998773333
869,2467,0,2467,3,6969599.83808,10559.9998773333
870,2001,0,2001,3,6969599.83808,10559.9998773333
871,1409,0,1409,4,6969600.70421999,10560.0005335
872,2056,0,2056,2,6969599.83808,10559.9998773333
873,1498,0,1498,1,6969599.83808,10559.9998773333
874,370,0,370,3,6969599.83808,10559.9998773333
875,1259,0,1259,3,6969599.83808,10559.9998773333
876,776,0,776,3,6969599.83808,10559.9998773333
877,2709,0,2709,2,6969599.83808,10559.9998773333
878,3378,0,3378,1,6969600.70421999,10560.0005335
879,1292,0,1292,3,6969599.83808,10559.9998773333
880,2386,0,2386,2,6969599.83808,10559.9998773333
881,379,0,379,3,6969599.83808,10559.9998773333
882,1187,0,1187,5,6969600.70421999,10560.0005335
883,951,0,951,4,6969600.70421999,10560.0005335
884,3563,0,3563,2,6969599.83808,10559.9998773333
885,1985,0,1985,2,6969599.83808,10559.9998773333
886,2741,0,2741,2,6969599.83808,10559.9998773333
887,3786,0,3786,1,6969599.83808,10559.9998773333
888,468,0,468,2,6969599.83808,10559.9998773333
889,1635,0,1635,1,6969599.83808,10559.9998773333
890,1387,0,1387,2,6969599.83808,10559.9998773333
891,1290,0,1290,2,6969599.83808,10559.9998773333
892,442,0,442,2,6969599.83808,10559.9998773333
893,428,0,428,3,6969599.83808,10559.9998773333
894,891,0,891,4,6969599.83808,10559.9998773333
895,2061,0,2061,5,6969599.83808,10559.9998773333
896,793,0,793,3,6969599.83808,10559.9998773333
897,1813,0,1813,1,6969599.83808,10559.9998773333
898,1144,0,1144,3,6969599.83808,10559.9998773333
899,1998,0,1998,3,6969599.83808,10559.9998773333
900,844,0,844,3,6969599.83808,10559.9998773333
901,1810,0,1810,0,6969599.83808,10559.9998773333
902,2747,0,2747,4,6969599.83808,10559.9998773333
903,846,0,846,3,6969599.83808,10559.9998773333
904,2808,0,2808,6,6969600.70421999,10560.0005335
905,2305,0,2305,3,6969599.83808,10559.9998773333
906,2519,0,2519,0,6969599.83808,10559.9998773333
907,1612,0,1612,1,6969599.83808,10559.9998773333
908,142,0,142,3,6969599.83808,10559.9998773333
909,1594,0,1594,5,6969599.83808,10559.9998773333
910,1493,0,1493,5,6969599.83808,10559.9998773333
911,1831,0,1831,4,6969599.83808,10559.9998773333
912,970,0,970,4,6969600.70421999,10560.0005335
913,3042,0,3042,3,6969599.83808,10559.9998773333
914,2126,0,2126,1,6969600.70421999,10560.0005335
915,2701,0,2701,5,6969599.83808,10559.9998773333
916,2168,0,2168,2,6969600.70421999,10560.0005335
917,697,0,697,1,6969599.83808,10559.9998773333
918,2990,0,2990,3,6969599.83808,10559.9998773333
919,2871,0,2871,2,6969599.83808,10559.9998773333
920,3205,0,3205,2,6969599.83808,10559.9998773333
921,1649,0,1649,7,6969599.83808,10559.9998773333
922,3050,0,3050,1,6969599.83808,10559.9998773333
923,2049,0,2049,2,6969599.83808,10559.9998773333
924,1206,0,1206,2,6969599.83808,10559.9998773333
925,3274,0,3274,5,6969599.83808,10559.9998773333
926,834,0,834,2,6969599.83808,10559.9998773333
927,3441,0,3441,3,6969599.83808,10559.9998773333
928,2002,0,2002,5,6969599.83808,10559.9998773333
929,1356,0,1356,6,6969599.83808,10559.9998773333
930,440,0,440,5,6969599.83808,10559.9998773333
931,2219,0,2219,1,6969599.83808,10559.9998773333
932,1193,0,1193,3,6969599.83808,10559.9998773333
933,553,0,553,1,6969599.83808,10559.9998773333
934,3094,0,3094,2,6969599.83808,10559.9998773333
935,756,0,756,1,6969599.83808,10559.9998773333
936,2287,0,2287,1,6969599.83808,10559.9998773333
937,490,0,490,3,6969599.83808,10559.9998773333
938,1141,0,1141,3,6969599.83808,10559.9998773333
939,1648,0,1648,7,6969599.83808,10559.9998773333
940,2937,0,2937,1,6969599.83808,10559.9998773333
941,2806,0,2806,3,6969600.70421999,10560.0005335
942,529,0,529,1,6969599.83808,10559.9998773333
943,1552,0,1552,2,6969600.70421999,10560.0005335
944,731,0,731,2,6969599.83808,10559.9998773333
945,713,0,713,1,6969600.70421999,10560.0005335
946,1258,0,1258,3,6969599.83808,10559.9998773333
947,2984,0,2984,3,6969599.83808,10559.9998773333
948,1001,0,1001,4,6969599.83808,10559.9998773333
949,3089,0,3089,2,6969599.83808,10559.9998773333
950,2821,0,2821,2,6969600.70421999,10560.0005335
951,1351,0,1351,1,6969600.70421999,10560.0005335
952,737,0,737,2,6969599.83808,10559.9998773333
953,3916,0,3916,1,6969599.83808,10559.9998773333
954,1875,0,1875,3,6969599.83808,10559.9998773333
955,3510,0,3510,2,6969599.83808,10559.9998773333
956,1618,0,1618,2,6969599.83808,10559.9998773333
957,2977,0,2977,2,6969599.83808,10559.9998773333
958,3847,0,3847,2,6969599.83808,10559.9998773333
959,1293,0,1293,3,6969600.70421999,10560.0005335
960,3222,0,3222,1,6969599.83808,10559.9998773333
961,618,0,618,5,6969600.70421999,10560.0005335
962,2067,0,2067,3,6969599.83808,10559.9998773333
963,3206,0,3206,2,6969599.83808,10559.9998773333
964,2100,0,2100,2,6969599.83808,10559.9998773333
965,1550,0,1550,2,6969600.70421999,10560.0005335
966,727,0,727,4,6969599.83808,10559.9998773333
967,2361,0,2361,3,6969599.83808,10559.9998773333
968,3456,0,3456,1,6969599.83808,10559.9998773333
969,1846,0,1846,2,6969599.83808,10559.9998773333
970,884,0,884,0,6969599.83808,10559.9998773333
971,1992,0,1992,3,6969599.83808,10559.9998773333
972,2652,0,2652,3,6969599.83808,10559.9998773333
973,1458,0,1458,1,6969599.83808,10559.9998773333
974,1056,0,1056,3,6969599.83808,10559.9998773333
975,965,0,965,3,6969600.70421999,10560.0005335
976,2473,0,2473,1,6969599.83808,10559.9998773333
977,1704,0,1704,1,6969599.83808,10559.9998773333
978,2454,0,2454,1,6969599.83808,10559.9998773333
979,1877,0,1877,6,6969599.83808,10559.9998773333
980,714,0,714,1,6969599.83808,10559.9998773333
981,782,0,782,2,6969599.83808,10559.9998773333
982,3915,0,3915,1,6969599.83808,10559.9998773333
983,2818,0,2818,2,6969600.70421999,10560.0005335
984,3845,0,3845,1,6969600.70421999,10560.0005335
985,3390,0,3390,2,6969600.70421999,10560.0005335
986,932,0,932,2,6969600.70421999,10560.0005335
987,1979,0,1979,2,6969599.83808,10559.9998773333
988,2629,0,2629,2,6969599.83808,10559.9998773333
989,2190,0,2190,1,6969600.70421999,10560.0005335
990,408,0,408,1,6969599.83808,10559.9998773333
991,1833,0,1833,2,6969599.83808,10559.9998773333
992,3848,0,3848,6,6969599.83808,10559.9998773333
993,1907,0,1907,1,6969599.83808,10559.9998773333
994,3568,0,3568,1,6969599.83808,10559.9998773333
995,2269,0,2269,1,6969599.83808,10559.9998773333
996,1931,0,1931,3,6969600.70421999,10560.0005335
997,3506,0,3506,4,6969599.83808,10559.9998773333
998,1077,0,1077,4,6969599.83808,10559.9998773333
999,719,0,719,6,6969599.83808,10559.9998773333
1000,317,0,317,3,6969601.57036009,10560.0011896667
1001,2270,0,2270,1,6969599.83808,10559.9998773333
1002,1167,0,1167,1,6969599.83808,10559.9998773333
1003,3158,0,3158,2,6969599.83808,10559.9998773333
1004,1063,0,1063,4,6969599.83808,10559.9998773333
1005,647,0,647,2,6969599.83808,10559.9998773333
1006,759,0,759,4,6969599.83808,10559.9998773333
1007,1267,0,1267,1,6969600.70421999,10560.0005335
1008,1346,0,1346,1,6969599.83808,10559.9998773333
1009,1238,0,1238,3,6969599.83808,10559.9998773333
1010,3282,0,3282,1,6969599.83808,10559.9998773333
1011,1681,0,1681,1,6969599.83808,10559.9998773333
1012,3392,0,3392,1,6969600.70421999,10560.0005335
1013,1677,0,1677,2,6969599.83808,10559.9998773333
1014,375,0,375,3,6969600.70421999,10560.0005335
1015,2191,0,2191,0,6969600.70421999,10560.0005335
1016,1446,0,1446,1,6969599.83808,10559.9998773333
1017,1722,0,1722,2,6969599.83808,10559.9998773333
1018,1427,0,1427,4,6969599.83808,10559.9998773333
1019,1424,0,1424,2,6969599.83808,10559.9998773333
1020,3394,0,3394,2,6969600.70421999,10560.0005335
1021,262,0,262,5,6969599.83808,10559.9998773333
1022,2173,0,2173,0,6969601.57036009,10560.0011896667
1023,3906,0,3906,1,6969599.83808,10559.9998773333
