X,Y,OBJECTID,APTCODE,PROJECT_NA,ADDRESS,CITYSTATEZ,TYPE,MIN_rentMO,MAX_rentMO,units,Credit,Avg_Rent,Affordable,URL
1419254.12910159,509799.614123836,87,596,SUMMERFIELD,2352 TOWNSHIP ROAD,"CHARLOTTE, NC 28273",AFFORDABLE,600,1100,52,Real Data,1100,Aff,https://www.aptindex.com/
1424026.10184109,514473.518818006,88,344,WHITEHALL ESTATES,2400 WHITEHALL ESTATES DRIVE,"CHARLOTTE, NC 28273",MARKET RATE,700,1200,252,Real Data,1200,no,https://www.aptindex.com/
1451891.15076968,552520.962408006,89,783,"ALEXANDER, THE",2425 STATESVILLE AVENUE,"CHARLOTTE, NC 28206",AFFORDABLE,400,900,96,Real Data,700,Aff,https://www.aptindex.com/
1435192.968943,539934.096505672,90,311,KINGSPARK,2425-A KINGSPARK DRIVE,"CHARLOTTE, NC 28208",MARKET RATE,500,900,110,Real Data,800,yes,https://www.aptindex.com/
1468976.2698146,541229.047327831,91,092,COUNTRY CLUB,2500 EASTWAY DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,500,1000,454,Real Data,900,yes,https://www.aptindex.com/
1441611.13622476,535600.922757342,92,028,ONE BROOKHILL,"2506 TRYON STREET, SOUTH","CHARLOTTE, NC 28203",MARKET RATE,500,600,416,Real Data,500,yes,https://www.aptindex.com/
1473219.01592226,584502.041818425,93,436,"TRADITION, THE",2525 CRESCENT VIEW DRIVE,"CHARLOTTE, NC 28269",MARKET RATE,900,1300,360,Real Data,1200,no,https://www.aptindex.com/
1422733.39674935,514748.124896094,94,931,WHITEHALL CROSSING,"2650 ARROWOOD ROAD, WEST","CHARLOTTE, NC 28273",AFFORDABLE,800,800,96,Real Data,800,Aff,https://www.aptindex.com/
1463645.89628901,538114.867860675,95,758,OAK VALLEY,2700 OAK VALLEY LANE,"CHARLOTTE, NC 28205",AFFORDABLE,400,700,50,Real Data,700,Aff,https://www.aptindex.com/
1471972.87438567,537875.519258007,96,522,BRADFORD COMMONS,2710 #4 EASTPORT ROAD,"CHARLOTTE, NC 28205",MARKET RATE,500,1000,120,Real Data,1000,yes,https://www.aptindex.com/
1462389.7652711,536716.950380921,97,178,VISTA COMMONS,2728 COMMONWEALTH AVENUE,"CHARLOTTE, NC 28205",MARKET RATE,500,1000,132,Real Data,1000,yes,https://www.aptindex.com/
1436715.88026726,539134.873694673,98,155,LAKEWOOD MANOR,2732 WATSON DRIVE #1,"CHARLOTTE, NC 28208",MARKET RATE,400,700,50,Real Data,700,yes,https://www.aptindex.com/
1436248.03605859,543451.830283836,99,197,WEYLAND,2814 MARLOWE AVENUE,"CHARLOTTE, NC 28208",MARKET RATE,600,900,168,Real Data,900,yes,https://www.aptindex.com/
1471164.61091034,538637.357957423,100,168,KILBORNE,2900 KILBORNE DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,500,800,90,Real Data,800,yes,https://www.aptindex.com/
1427483.13528134,549554.383367419,101,312,FORESTBROOK,2903 FOREST BROOK DRIVE,"CHARLOTTE, NC 28208",MARKET RATE,500,900,262,Real Data,900,yes,https://www.aptindex.com/
1425344.61987334,549196.853242591,102,787,WILLOW OAK RUN,2908 TURNING OAK DRIVE,"CHARLOTTE, NC 28208",AFFORDABLE,600,700,85,Real Data,700,Aff,https://www.aptindex.com/
1430505.04426375,535993.09323284,103,615,TYVOLA CROSSING,2909 CROSS ROADS PLACE,"CHARLOTTE, NC 28208",AFFORDABLE,500,800,80,Real Data,800,Aff,https://www.aptindex.com/
1428103.15766335,548517.057358086,104,046,SUNSET VILLAGE,2930 TACOMA STREET,"CHARLOTTE, NC 28208",MARKET RATE,600,1000,98,Real Data,1000,yes,https://www.aptindex.com/
1429467.28584059,536968.720874757,105,229,PONDEROSA,3016 KENHILL DRIVE,"CHARLOTTE, NC 28208",MARKET RATE,500,1000,113,Real Data,1000,yes,https://www.aptindex.com/
1471715.61735426,583430.181429341,106,599,COLONIAL GRAND @ MALLARD CREEK,3025 MALLARD HILL DRIVE,"CHARLOTTE, NC 28269",MARKET RATE,800,1200,252,Real Data,1200,no,https://www.aptindex.com/
1482648.97508067,577543.011773258,107,498,HIGHLANDS@ ALEXANDER PT.,310 HIGHROAD DRIVE,"CHARLOTTE, NC 28262",MARKET RATE,900,1300,309,Real Data,1200,no,https://www.aptindex.com/
1441694.96414109,556125.135645837,108,651,BRAMAR GARDENS,3115 SOUTHWEST BLVD #7,"CHARLOTTE, NC 28216",AFFORDABLE,500,800,123,Real Data,800,Aff,https://www.aptindex.com/
1427867.88254334,548016.857571095,109,222,GLEN HAVEN,3117 TACOMA STREET,"CHARLOTTE, NC 28208",MARKET RATE,500,800,270,Real Data,800,yes,https://www.aptindex.com/
1465041.01784259,539112.145065591,110,016,SOHO ON CENTRAL,3143 CENTRAL AVENUE,"CHARLOTTE, NC 28205",MARKET RATE,600,1200,155,Real Data,1100,no,https://www.aptindex.com/
1460348.79658401,569151.706049338,111,446,NEVIN PLACE,3146 BARODA LANE,"CHARLOTTE, NC 28269",MARKET RATE,700,1000,55,Real Data,1000,yes,https://www.aptindex.com/
1457343.27667642,562212.433838665,112,096,TANGLEWOOD,3200 DALECREST DRIVE,"CHARLOTTE, NC 28269",MARKET RATE,500,900,96,Real Data,900,yes,https://www.aptindex.com/
1466418.351374,581543.487368092,113,067,RADBOURNE LAKE,3209 WESTBURY LAKE DRIVE,"CHARLOTTE, NC 28269",MARKET RATE,800,1300,225,Real Data,1200,no,https://www.aptindex.com/
1471436.28195493,545157.333106428,114,302,WINDSOR HARBOR,3217 SHAMROCK DRIVE,"CHARLOTTE, NC 28215",MARKET RATE,600,900,200,Real Data,900,yes,https://www.aptindex.com/
1465437.00720809,538509.855915844,115,873,VYNE ON CENTRAL,"3220 CENTRAL AVE, APT.105","CHARLOTTE, NC 28205",MARKET RATE,1000,1300,98,Real Data,1200,no,https://www.aptindex.com/
1446682.77601585,527787.514171585,116,233,PARKHILL CONDOMINIUMS,3301-L PARK ROAD,"CHARLOTTE, NC 28209",MARKET RATE,600,1100,53,Real Data,900,yes,https://www.aptindex.com/
1470770.9745585,542675.129081339,117,022,HILLROCK ESTATES,3317 MAGNOLIA HILL DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,500,900,341,Real Data,900,yes,https://www.aptindex.com/
1461921.1973106,550587.854069501,118,592,LOFTS AT NODA MILLS,"3327 DAVIDSON STREET, NORTH","CHARLOTTE, NC 28205",MARKET RATE,700,800,48,Real Data,800,yes,https://www.aptindex.com/
1471521.04458067,559306.963927835,119,132,TOWNES AT UNIVERSITY POINTE,336 BLACKHAWK ROAD,"CHARLOTTE, NC 28213",MARKET RATE,500,1000,428,Real Data,1100,yes,https://www.aptindex.com/
1468126.93522717,535842.83697167,120,187,BISCAYNE,3401-G BISCAYNE DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,600,1100,54,Real Data,1100,no,https://www.aptindex.com/
1418274.03132425,578922.127781421,121,614,RIVERMERE,3404 DUNN COMMONS PKWY,"CHARLOTTE, NC 28216",MKT/AFFORD,700,1000,172,Real Data,1000,yes,https://www.aptindex.com/
1474619.56856734,535014.501358002,122,057,TEAL POINT,"3431 SHARON AMITY, NORTH","CHARLOTTE, NC 28205",MARKET RATE,500,800,216,Real Data,800,yes,https://www.aptindex.com/
1482645.97082159,595131.944443092,123,699,MILL POND,3515 LAUREL MILL DRIVE,"CHARLOTTE, NC 28262",MKT/AFFORD,700,1100,168,Real Data,1100,yes,https://www.aptindex.com/
1474358.33713442,535439.043159842,124,313,GREENBRYRE,3541 SPANISH QUARTER CIRCLE,"CHARLOTTE, NC 28205",MARKET RATE,500,1000,174,Real Data,1000,yes,https://www.aptindex.com/
1426247.171874,536959.520105749,125,786,RESIDENCES AT RENAISSANCE,3610 NOBLES AVENUE,"CHARLOTTE, NC 28208",MKT/AFFORD,700,900,224,Real Data,900,yes,https://www.aptindex.com/
1436538.75923042,550480.310321346,126,793,GLENWOOD POINT,3639 HASHEM DRIVE,"CHARLOTTE, NC 28208",AFFORDABLE,500,500,98,Real Data,500,Aff,https://www.aptindex.com/
1461791.96856642,553754.218143582,127,004,CEDAR GREENE,3720 FREW ROAD,"CHARLOTTE, NC 28206",MARKET RATE,500,800,224,Real Data,800,yes,https://www.aptindex.com/
1465120.19616193,582432.825812504,128,413,CHESHIRE CHASE,3724 CONNERY COURT,"CHARLOTTE, NC 28269",AFFORDABLE,700,1000,55,Real Data,1000,Aff,https://www.aptindex.com/
1469987.05880351,546711.337544337,129,146,SHAMROCK GARDENS,3779 MICHIGAN AVENUE,"CHARLOTTE, NC 28215",MARKET RATE,400,600,279,Real Data,600,yes,https://www.aptindex.com/
1438867.33561,557198.445835173,130,523,THOMPSON PLACE,3910 THOMPSON STREET,"CHARLOTTE, NC 28216",MARKET RATE,500,700,67,Real Data,700,yes,https://www.aptindex.com/
1462247.60709085,553847.575568423,131,562,VILLAGE OF ROSEDALE,3925 TIFFANY ROSE PLACE,"CHARLOTTE, NC 28206",AFFORDABLE,500,700,106,Real Data,700,Aff,https://www.aptindex.com/
1440272.91088285,527508.051804006,132,176,SOUTHGATE,4001 CONWAY AVENUE,"CHARLOTTE, NC 28209",MARKET RATE,500,900,310,Real Data,900,yes,https://www.aptindex.com/
1453932.37831451,502856.774335012,133,060,QUAIL VALLEY ON CARMEL,4012 QUAIL FOREST DRIVE,"CHARLOTTE, NC 28226",MARKET RATE,600,1100,232,Real Data,1100,no,https://www.aptindex.com/
1473742.51225059,537003.416015342,134,003,EASTLAND VILLAGE,4016 ROSEHAVEN DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,500,800,98,Real Data,800,yes,https://www.aptindex.com/
1462628.8514071,580454.699519426,135,497,BEXLEY CREEKSIDE,4101 DOUBLE CREEK CROSSING DRIVE,"CHARLOTTE, NC 28269",MARKET RATE,700,1300,492,Real Data,1200,no,https://www.aptindex.com/
1468214.86516942,555006.067017838,136,230,TRYON FOREST,411 LAMBETH DRIVE #2,"CHARLOTTE, NC 28213",MARKET RATE,400,1000,169,Real Data,1000,yes,https://www.aptindex.com/
